Numero;Descricao;Umidade;Energia_kcal;Proteina;Carboidrato;Categoria
259;"Azeite de dende";0.0;884;0.0;0.0;"Gorduras e oleos"
269;"Oleo de girassol";0.0;884;0.0;0.0;"Gorduras e oleos"
268;"Oleo de canola";0.0;884;0.0;0.0;"Gorduras e oleos"
264;"Margarina com oleo hidrogenado sem sal (80% de lipideos)";19.6;723;0.0;0.0;"Gorduras e oleos"
271;"Oleo de pequi";0.0;884;0.0;0.0;"Gorduras e oleos"
592;"Farinha de mesocarpo de babacu crua";15.8;329;1.4;79.2;"Nozes e sementes"
591;"Coco verde cru";0.0;0;0.0;0.0;"Nozes e sementes"
588;"Castanha-de-caju torrada salgada";3.5;570;18.5;29.1;"Nozes e sementes"
597;"Noz crua";6.2;620;14.0;18.4;"Nozes e sementes"
593;"Gergelim semente";3.9;584;21.2;21.6;"Nozes e sementes"
486;"Ovo de galinha clara cozida/10minutos";85.2;59;13.4;0.0;"Ovos e derivados"
484;"Omelete de queijo";60.5;268;15.6;0.4;"Ovos e derivados"
489;"Ovo de galinha inteiro cru";75.6;143;13.0;1.6;"Ovos e derivados"
485;"Ovo de codorna inteiro cru";71.7;177;13.7;0.8;"Ovos e derivados"
488;"Ovo de galinha inteiro cozido/10minutos";75.8;146;13.3;0.6;"Ovos e derivados"
17;"Bolo pronto coco";29.3;333;5.7;52.3;"Cereais e derivados"
40;"Macarrao trigo cru";10.2;371;10.0;77.9;"Cereais e derivados"
31;"Farinha de arroz enriquecida";12.7;363;1.3;85.5;"Cereais e derivados"
41;"Macarrao trigo cru com ovos";10.6;371;10.3;76.6;"Cereais e derivados"
2;"Arroz integral cru";12.2;360;7.3;77.5;"Cereais e derivados"
318;"Sardinha assada";60.1;164;32.2;0.0;"Pescados e frutos do mar"
305;"Pescada branca frita";57.0;223;27.4;0.0;"Pescados e frutos do mar"
303;"Merluza file frito";63.5;192;26.9;0.0;"Pescados e frutos do mar"
294;"Corvina grande cozida";73.6;100;23.4;0.0;"Pescados e frutos do mar"
296;"Lambari congelado cru";71.9;131;16.8;0.0;"Pescados e frutos do mar"
470;"Bebida isotonica sabores variados";93.5;26;0.0;6.4;"Bebidas (alcoolicas e nao alcoolicas)"
478;"Coco agua de";94.3;22;0.0;5.3;"Bebidas (alcoolicas e nao alcoolicas)"
479;"Refrigerante tipo agua tonica";92.0;31;0.0;8.0;"Bebidas (alcoolicas e nao alcoolicas)"
476;"Cha mate infusao 5%";99.3;3;0.0;0.6;"Bebidas (alcoolicas e nao alcoolicas)"
483;"Refrigerante tipo limao";89.7;40;0.0;10.3;"Bebidas (alcoolicas e nao alcoolicas)"
348;"Carne bovina costela crua";52.7;358;16.7;0.0;"Carnes e derivados"
443;"Salame";34.7;398;25.8;2.9;"Carnes e derivados"
362;"Carne bovina fraldinha com gordura crua";65.4;221;17.6;0.0;"Carnes e derivados"
356;"Carne bovina figado grelhado";55.0;225;29.9;4.2;"Carnes e derivados"
420;"Linguica frango grelhada";58.6;244;18.2;0.0;"Carnes e derivados"
530;"Bolinho de arroz";41.5;274;8.0;41.7;"Alimentos preparados"
542;"Macarrao molho bolognesa";71.4;120;4.9;22.5;"Alimentos preparados"
533;"Cuscuz de milho cozido com sal";71.1;113;2.2;25.3;"Alimentos preparados"
543;"Manicoba";76.4;134;10.0;3.4;"Alimentos preparados"
525;"Acaraje";50.5;289;8.3;19.1;"Alimentos preparados"
242;"Pera Park crua";83.2;61;0.2;16.1;"Frutas e derivados"
163;"Abacate cru";83.8;96;1.2;6.0;"Frutas e derivados"
243;"Pera Williams crua";85.0;53;0.6;14.0;"Frutas e derivados"
246;"Pinha crua";75.0;88;1.5;22.4;"Frutas e derivados"
229;"Manga Palmer crua";79.7;72;0.4;19.4;"Frutas e derivados"
512;"Capuccino po";2.6;417;11.3;73.6;"Miscelaneas"
515;"Gelatina sabores variados po";1.2;380;8.9;89.2;"Miscelaneas"
516;"Sal dietetico";0.6;0;0.0;0.0;"Miscelaneas"
517;"Sal grosso";0.4;0;0.0;0.0;"Miscelaneas"
513;"Fermento em po quimico";7.1;90;0.5;43.9;"Miscelaneas"
487;"Ovo de galinha gema cozida/10minutos";50.0;353;15.9;1.6;"Ovos e derivados"
554;"Vatapa";58.4;255;6.0;9.7;"Alimentos preparados"
475;"Cha erva-doce infusao 5%";99.6;1;0.0;0.4;"Bebidas (alcoolicas e nao alcoolicas)"
490;"Ovo de galinha inteiro frito";63.5;240;15.6;1.2;"Ovos e derivados"
472;"Cana aguardente";0.0;216;0.0;0.0;"Bebidas (alcoolicas e nao alcoolicas)"
590;"Coco cru";43.0;406;3.7;10.4;"Nozes e sementes"
537;"Estrogonofe de carne";70.1;173;15.0;3.0;"Alimentos preparados"
538;"Estrogonofe de frango";70.9;157;17.6;2.6;"Alimentos preparados"
519;"Tempero a base de sal";7.7;21;2.7;2.1;"Miscelaneas"
480;"Refrigerante tipo cola";91.3;34;0.0;8.7;"Bebidas (alcoolicas e nao alcoolicas)"
226;"Mamao Papaia cru";88.6;40;0.5;10.4;"Frutas e derivados"
202;"Graviola polpa congelada";89.2;38;0.6;9.8;"Frutas e derivados"
474;"Cerveja pilsen";92.4;41;0.6;3.3;"Bebidas (alcoolicas e nao alcoolicas)"
38;"Lasanha massa fresca crua";45.0;220;7.0;45.1;"Cereais e derivados"
